price,size,balcony,juliet_balcony,basement,terrace,loggia,yard,attic,floor,rooms,offering,date_listed,street,borough
10000,105,0,0,1,1,0,0,0,4,4,agency,2023-02-14,,Śródmieście
10000,105,0,0,0,1,0,0,0,4,4,agency,2022-11-23,,Stare miasto
10000,106,0,0,0,1,0,0,0,4,4,agency,2023-02-15,,Stare miasto
10000,110,0,0,0,1,0,0,0,7,4,agency,2023-01-23,Walońska,Krzyki
10000,114.38,1,0,1,0,0,0,0,7,3,agency,2023-06-03,Białowieska,Fabryczna
10000,120,1,0,0,0,0,1,0,0,5,agency,2023-02-03,Stanisławowska,Fabryczna
10000,120,0,0,0,0,0,1,0,1,4,agency,2023-06-05,Racławicka,Krzyki
10000,120,0,0,0,0,0,1,0,1,4,agency,2023-06-05,Racławicka,Krzyki
10000,130,1,0,0,0,0,0,0,8,3,agency,2023-01-22,,Śródmieście
10000,145.46,0,0,0,0,1,0,0,6,4,agency,2022-01-11,Witolda,Śródmieście
10000,147,0,0,0,1,0,0,0,2,4,agency,2023-06-03,Rybnicka,Krzyki
10000,148,0,0,0,1,0,0,0,2,4,agency,2023-06-01,,Krzyki
9990,120,1,0,1,0,0,1,0,0,4,agency,2023-06-03,Racławicka,Krzyki
9950,95.3,0,0,1,0,0,0,0,4,4,agency,2023-05-30,,
9950,101.23,0,0,1,0,0,0,0,4,5,agency,2023-06-18,,Stare miasto
9950,101.27,0,0,0,0,0,0,0,4,5,agency,2023-06-18,Uniwersytecka,Stare miasto
9950,102,0,0,1,0,0,0,0,4,5,agency,2023-06-13,,Stare miasto
9950,120,0,0,0,0,0,0,0,4,5,agency,2023-05-31,Uniwersytecka,Stare miasto
9900,107,0,0,0,1,0,0,0,1,4,agency,2022-06-28,Rymarska,Fabryczna
9900,107,0,0,1,1,0,0,0,1,4,agency,2022-06-20,Rymarska,Krzyki
9900,122,0,0,0,1,0,0,0,3,4,agency,2023-06-06,Racławicka,Krzyki
9900,138,0,0,0,1,0,0,0,2,5,agency,2023-01-23,Wiwulskiego,Śródmieście
9900,138,0,0,0,1,0,0,0,2,5,agency,2023-05-13,,Śródmieście
9900,182.5,1,0,0,0,0,0,0,1,5,agency,2023-05-22,,Krzyki
9800,106,1,0,0,0,0,0,0,1,4,agency,2023-06-17,Rymarska,Fabryczna
9800,137,0,0,0,1,0,0,0,2,5,agency,2023-06-01,Wiwulskiego,Śródmieście
9500,80,1,0,0,0,0,0,0,3,3,agency,2023-06-13,Witolda,Śródmieście
9500,86,1,0,0,0,0,1,0,0,3,agency,2022-03-12,Saperów,Krzyki
9500,93,0,0,0,0,0,0,0,7,4,agency,2023-06-16,Jedności narodowej,Śródmieście
9500,93,0,0,0,1,0,0,0,7,4,agency,2023-05-09,Jedności narodowej,Śródmieście
9500,103,0,0,0,0,0,0,0,35,3,agency,2022-11-30,Gwiaździsta,Krzyki
9500,104,0,0,0,1,0,0,0,4,4,agency,2023-05-04,Kościuszki,Krzyki
9500,104,0,0,0,1,0,1,0,4,4,private,2023-04-13,Kościuszki,Krzyki
9500,106,0,0,0,1,0,0,0,4,4,agency,2023-04-14,,Stare miasto
9500,107,0,0,0,1,0,0,0,4,4,agency,2023-03-17,,Stare miasto
9500,131,0,0,0,0,0,0,0,4,4,agency,2023-01-15,,Stare miasto
9500,132,1,0,0,0,0,0,0,4,4,agency,2022-12-30,,Śródmieście
9500,132,0,0,0,1,0,0,0,4,4,agency,2022-12-28,,Śródmieście
9500,137,0,0,0,0,0,0,0,17,4,agency,2023-03-21,Jesionowa,Krzyki
9499,138,0,0,0,0,0,0,0,17,4,agency,2023-03-21,Jesionowa,Krzyki
9400,94,1,0,0,0,0,0,0,6,4,agency,2022-06-21,Jedności narodowej,Śródmieście
9300,305,0,0,0,0,0,0,0,,6,agency,2023-01-04,Zwycięska,Krzyki
9300,305.1,0,0,0,0,0,0,0,,6,agency,2023-01-11,Zwycięska,Krzyki
9000,70,0,0,0,0,0,0,0,28,2,agency,2023-06-06,Gwiaździsta,Krzyki
9000,70,0,0,0,0,0,0,0,,2,private,2023-05-31,Gwiaździsta,Stare miasto
9000,70,0,0,0,1,0,0,0,2,3,agency,2023-02-21,Witolda,Stare miasto
9000,70,0,0,0,1,0,0,0,2,3,agency,2023-02-13,Witolda,Śródmieście
9000,79,1,0,1,0,0,0,0,1,2,agency,2022-07-28,Gdańska,Śródmieście
9000,86,0,0,0,1,0,0,0,0,3,agency,2022-03-22,Saperów,Krzyki
9000,90,1,0,0,0,0,0,0,2,5,agency,2023-06-01,Wichrowa,Krzyki
9000,90,1,0,0,0,0,0,0,2,5,agency,2022-08-04,Wichrowa,Krzyki
9000,91,0,0,0,0,0,0,0,1,4,agency,2022-06-17,,Krzyki
9000,101,1,0,0,0,0,0,0,2,4,agency,2023-01-30,Ślężna112d,Krzyki
9000,106,1,0,0,0,0,0,0,1,3,agency,2023-06-03,,Krzyki
9000,106,0,0,0,0,0,0,0,43,2,agency,2022-03-30,,Krzyki
9000,106,0,0,0,0,0,0,0,44,3,agency,2023-01-31,Gwiaździsta,Krzyki
9000,114,0,0,0,0,0,0,0,1,4,agency,2023-04-06,,Śródmieście
9000,115,1,0,0,0,0,0,0,3,4,agency,2022-07-02,Inowrocławska,Stare miasto
9000,120,1,0,0,0,0,1,0,0,5,agency,2022-02-05,Stanisławowska,Fabryczna
9000,125,0,0,0,0,0,0,0,5,4,agency,2023-05-24,Bema,Śródmieście
9000,127,0,0,0,0,0,0,0,3,3,agency,2023-05-17,Świętokrzyska,Śródmieście
9000,130,0,0,0,1,0,0,0,1,6,agency,2023-05-09,Klimasa,Krzyki
8900,120,0,0,0,0,0,0,0,4,4,agency,2023-02-01,,Krzyki
8900,130,0,0,0,1,0,0,0,8,3,agency,2022-03-01,Długa,Stare miasto
8600,84,1,0,0,0,0,0,0,15,3,agency,2022-06-05,Podwale,Stare miasto
8550,81,1,0,0,0,0,0,0,8,3,agency,2022-05-11,,Śródmieście
8550,90,1,0,0,0,0,0,0,4,4,agency,2023-05-12,Wichrowa,Krzyki
8500,41,1,0,0,0,0,0,0,2,2,agency,2023-05-25,Jana pawła ii,Stare miasto
8500,46.26,0,0,0,1,0,0,0,1,2,agency,2023-05-25,Jana pawła ii,Stare miasto
8500,78,1,0,0,0,0,0,0,8,3,agency,2022-04-06,Mieszczańska,Stare miasto
8500,83,0,0,0,0,0,1,0,0,4,agency,2022-03-02,Grabiszyńska,Fabryczna
8500,83,0,0,0,1,0,0,0,8,4,agency,2022-12-12,Sikorskiego,Stare miasto
8500,84,1,0,0,0,0,0,0,15,3,agency,2023-03-05,Podwale,Stare miasto
8500,86,0,0,1,1,0,0,0,7,3,agency,2022-11-28,Witolda,Śródmieście
8500,87,0,0,0,1,0,0,0,2,4,agency,2022-07-11,Mieszczańska,Śródmieście
8500,90,0,0,0,1,0,0,0,2,3,agency,2022-08-05,,Psie pole
8500,90,1,0,0,0,0,0,0,2,4,agency,2022-08-04,,Śródmieście
8500,90,0,0,0,1,0,0,0,5,3,agency,2022-05-27,Matejki,Śródmieście
8500,91,0,0,1,0,0,0,0,1,4,agency,2022-06-21,Ułańska,Krzyki
8500,108,1,0,0,0,0,0,0,5,2,agency,2022-05-06,Sowia,Krzyki
8500,108,1,0,0,0,0,0,0,5,2,agency,2022-04-24,Sowia,Krzyki
8500,110,0,0,1,1,0,0,0,3,3,agency,2022-12-30,Zyndrama z maszkowic,Stare miasto
8500,110,0,0,0,1,0,0,0,3,3,agency,2022-08-04,Zyndrama z maszkowic,Śródmieście
8500,130.7,1,0,1,0,0,0,0,3,4,agency,2022-12-05,Krawiecka,Stare miasto
8000,53.5,1,0,0,0,0,0,0,1,2,agency,2022-01-06,Uniwersytecka,Stare miasto
8000,60.17,0,0,1,0,1,0,0,5,3,agency,2023-04-15,Witolda,Stare miasto
8000,62,1,0,0,0,0,0,0,5,3,agency,2023-01-26,,Stare miasto
8000,65,1,0,0,0,0,0,0,3,3,agency,2023-06-05,Śrutowa,Śródmieście
8000,70,0,0,0,0,0,0,0,40,2,agency,2022-02-10,,Krzyki
8000,75.57,0,0,0,1,0,0,0,7,3,agency,2023-02-10,,Stare miasto
8000,90.25,1,0,0,0,0,0,0,1,2,agency,2023-06-13,Kościuszki,Śródmieście
8000,91,1,0,1,0,0,0,0,4,3,agency,2023-06-05,Vespucciego,Psie pole
8000,91,1,0,1,0,0,1,0,0,4,agency,2022-08-30,Ułańska,Krzyki
8000,93,0,0,0,1,0,0,0,1,4,agency,2023-05-15,,Fabryczna
8000,100,0,0,0,1,0,0,0,16,3,agency,2022-03-16,,
8000,108,0,0,0,0,0,0,0,6,4,agency,2023-06-10,Zyndrama z maszkowic,Śródmieście
8000,117,0,0,0,1,0,0,0,1,4,agency,2023-06-01,Wałbrzyska,Krzyki
8000,118,1,0,0,0,0,0,0,1,5,agency,2023-04-14,Wałbrzyska,Krzyki
8000,123,0,0,0,0,0,0,0,2,5,agency,2023-06-11,Na szańcach,Śródmieście
8000,125,1,0,1,0,0,0,0,3,3,agency,2022-02-04,Prusa,Śródmieście
8000,131,1,0,1,0,0,0,0,1,4,agency,2022-01-24,Krzycka,Krzyki
8000,146,1,0,0,0,0,0,0,2,4,agency,2022-01-18,Rybnicka,Krzyki
8000,147,1,0,1,0,0,0,0,2,4,agency,2023-05-11,Chopina,Śródmieście
8000,160,0,0,0,0,0,0,0,,5,agency,2022-03-01,Ruczajowa,Fabryczna
